ENSMUSG00000031431	Tsc22d3
ENSMUSG00000031502	Col4a1
ENSMUSG00000031570	Plpp5
ENSMUSG00000031608	Galnt7
ENSMUSG00000031634	Ufsp2
ENSMUSG00000031661	Nkd1
ENSMUSG00000031681	Smad1
ENSMUSG00000031751	Amfr
ENSMUSG00000031760	Mt3
ENSMUSG00000031775	Pllp
ENSMUSG00000031805	Jak3
ENSMUSG00000031823	Zdhhc7
ENSMUSG00000031861	Lpar2
ENSMUSG00000031934	Panx1
ENSMUSG00000032012	Nectin1
ENSMUSG00000032101	Ddx25
ENSMUSG00000032184	Lysmd2
ENSMUSG00000032228	Tcf12
ENSMUSG00000032231	Anxa2
ENSMUSG00000032232	Cgnl1
ENSMUSG00000032265	Tent5a
ENSMUSG00000032290	Ptpn9
ENSMUSG00000032380	Dapk2
ENSMUSG00000032394	Igdcc3
ENSMUSG00000032446	Eomes
ENSMUSG00000032492	Pth1r
ENSMUSG00000032540	Abhd5
ENSMUSG00000032615	Nt5m
ENSMUSG00000032657	Fam189b
ENSMUSG00000032667	Pon2
ENSMUSG00000032679	Cd59a
ENSMUSG00000032870	Smap2
ENSMUSG00000033102	Cdc14b
ENSMUSG00000033159	Cnppd1
ENSMUSG00000033170	Card10
ENSMUSG00000033352	Map2k4
ENSMUSG00000033446	Lpar6
ENSMUSG00000033585	Ndn
ENSMUSG00000033629	Hacd3
ENSMUSG00000033737	Fndc3c1
ENSMUSG00000033965	Slc16a2
ENSMUSG00000034201	Gas2l1
ENSMUSG00000034220	Gpc1
ENSMUSG00000034311	Kif4
ENSMUSG00000034361	Cpne2
ENSMUSG00000034377	Tulp4
ENSMUSG00000034403	Pja1
ENSMUSG00000034457	Eda2r
ENSMUSG00000034595	Ppp1r18
ENSMUSG00000034675	Dbn1
ENSMUSG00000034685	Fam171a2
ENSMUSG00000034686	Prr7
ENSMUSG00000034723	Tmx4
ENSMUSG00000034795	Ccdc122
ENSMUSG00000034906	Ncaph
ENSMUSG00000034908	Sidt2
ENSMUSG00000035021	Baz1a
ENSMUSG00000035595	Fam174c
ENSMUSG00000035799	Twist1
ENSMUSG00000035863	Palm
ENSMUSG00000036030	Prtg
ENSMUSG00000036046	5031439G07Rik
ENSMUSG00000036158	Prickle1
ENSMUSG00000036306	Lzts1
ENSMUSG00000036402	Gng12
ENSMUSG00000036503	Rnf13
ENSMUSG00000036523	Greb1
ENSMUSG00000036565	Ttyh3
ENSMUSG00000036620	Mgat4b
ENSMUSG00000036667	Tcaf1
ENSMUSG00000036885	Arhgef26
ENSMUSG00000036894	Rap2b
ENSMUSG00000036985	Zdhhc9
ENSMUSG00000037010	Apln
ENSMUSG00000037016	Frem2
ENSMUSG00000037025	Foxa2
ENSMUSG00000037032	Apbb1
ENSMUSG00000037148	Arhgap10
ENSMUSG00000037235	Mxd4
ENSMUSG00000037295	Ldlrap1
ENSMUSG00000037493	Cib2
ENSMUSG00000037552	Plekhg2
ENSMUSG00000037669	Ldah
ENSMUSG00000037795	N4bp2
ENSMUSG00000037855	Zfp365
ENSMUSG00000037926	Ssh2
ENSMUSG00000037971	1110032A03Rik
ENSMUSG00000038039	Gcc2
ENSMUSG00000038059	Smim3
ENSMUSG00000038145	Snrk
ENSMUSG00000038256	Bcl9
ENSMUSG00000038305	Spats2l
ENSMUSG00000038415	Foxq1
ENSMUSG00000038545	Cul7
ENSMUSG00000038552	Fndc4
ENSMUSG00000038555	Reep2
ENSMUSG00000038718	Pbx3
ENSMUSG00000038871	Bpgm
ENSMUSG00000039089	L3mbtl3
ENSMUSG00000039159	Ube2h
ENSMUSG00000039168	Dap
ENSMUSG00000039470	Zdhhc2
ENSMUSG00000039611	Tmem246
ENSMUSG00000039662	Icmt
ENSMUSG00000039960	Rhou
ENSMUSG00000039976	Tbc1d16
ENSMUSG00000040118	Cacna2d1
ENSMUSG00000040151	Hs2st1
ENSMUSG00000040158	Tax1bp3
ENSMUSG00000040212	Emp3
ENSMUSG00000040289	Hey1
ENSMUSG00000040322	Slc25a24
ENSMUSG00000040374	Pex2
ENSMUSG00000040423	Rc3h1
ENSMUSG00000040653	Ppp1r14c
ENSMUSG00000040659	Efhd2
ENSMUSG00000040690	Col16a1
ENSMUSG00000040717	Il17rd
ENSMUSG00000040848	Sft2d2
ENSMUSG00000041012	Cmtm8
ENSMUSG00000041020	Map7d2
ENSMUSG00000041046	Ramp3
ENSMUSG00000041420	Meis3
ENSMUSG00000041688	Amot
ENSMUSG00000041845	Rhod
ENSMUSG00000041889	Shisa4
ENSMUSG00000041912	Tdrkh
ENSMUSG00000042063	Zfp386
ENSMUSG00000042105	Inpp5f
ENSMUSG00000042215	Bag2
ENSMUSG00000042216	Sgsm1
ENSMUSG00000042363	Lgalsl
ENSMUSG00000042472	Zfp410
ENSMUSG00000042515	Pwwp3b
ENSMUSG00000042595	Fam199x
ENSMUSG00000042686	Jph1
ENSMUSG00000042745	Id1
ENSMUSG00000042834	Nrep
ENSMUSG00000042903	Foxo4
ENSMUSG00000043068	Fam89a
ENSMUSG00000043110	Lrrn4
ENSMUSG00000043165	Lor
ENSMUSG00000043251	Exoc3l
ENSMUSG00000043384	Gprasp1
ENSMUSG00000043668	Tox3
ENSMUSG00000044367	Slc16a13
ENSMUSG00000044461	Shisa2
ENSMUSG00000044707	Ccnjl
ENSMUSG00000044813	Shb
ENSMUSG00000045211	Nudt18
ENSMUSG00000045333	Zfp423
ENSMUSG00000045519	Zfp560
ENSMUSG00000045854	Lyrm2
ENSMUSG00000046351	Zfp322a
ENSMUSG00000046707	Csnk2a2
ENSMUSG00000046818	Ddit4l
ENSMUSG00000047264	Zfp358
ENSMUSG00000047371	Zfp768
ENSMUSG00000047409	Ctdspl
ENSMUSG00000047731	Wbp1l
ENSMUSG00000047749	Zc3hav1l
