id	sample
GSM3443608	E4.5.5.5_new_Plate4_F09
GSM3443610	E4.5.5.5_new_Plate4_F11
GSM3443612	E4.5.5.5_new_Plate4_G01
GSM3443616	E4.5.5.5_new_Plate4_G05
GSM3443617	E4.5.5.5_new_Plate4_G06
GSM3443618	E4.5.5.5_new_Plate4_G07
GSM3443619	E4.5.5.5_new_Plate4_G08
GSM3443621	E4.5.5.5_new_Plate4_G10
GSM3443623	E4.5.5.5_new_Plate4_G12
GSM3443626	E4.5.5.5_new_Plate4_H03
GSM3443638	E6.5_Plate3_A10
GSM3443639	E6.5_Plate3_A11
GSM3443640	E6.5_Plate3_A12
GSM3443641	E6.5_Plate3_A1
GSM3443642	E6.5_Plate3_A2
GSM3443644	E6.5_Plate3_A4
GSM3443645	E6.5_Plate3_A5
GSM3443647	E6.5_Plate3_A7
GSM3443648	E6.5_Plate3_A8
GSM3443649	E6.5_Plate3_A9
GSM3443653	E6.5_Plate3_B1
GSM3443655	E6.5_Plate3_B3
GSM3443656	E6.5_Plate3_B4
GSM3443657	E6.5_Plate3_B5
GSM3443658	E6.5_Plate3_B6
GSM3443659	E6.5_Plate3_B7
GSM3443660	E6.5_Plate3_B8
GSM3443663	E6.5_Plate3_C11
GSM3443665	E6.5_Plate3_C1
GSM3443666	E6.5_Plate3_C2
GSM3443667	E6.5_Plate3_C3
GSM3443668	E6.5_Plate3_C4
GSM3443671	E6.5_Plate3_C7
GSM3443673	E6.5_Plate3_C9
GSM3443677	E6.5_Plate3_D1
GSM3443680	E6.5_Plate3_D4
GSM3443682	E6.5_Plate3_D6
GSM3443683	E6.5_Plate3_D7
GSM3443684	E6.5_Plate3_D8
GSM3443685	E6.5_Plate3_D9
GSM3443689	E6.5_Plate3_E1
GSM3443690	E6.5_Plate3_E2
GSM3443696	E6.5_Plate3_E8
GSM3443699	E6.5_Plate3_F11
GSM3443700	E6.5_Plate3_F12
GSM3443702	E6.5_Plate3_F2
GSM3443704	E6.5_Plate3_F4
GSM3443705	E6.5_Plate3_F5
GSM3443706	E6.5_Plate3_F6
GSM3443708	E6.5_Plate3_F8
GSM3443710	E6.5_Plate3_G10
GSM3443711	E6.5_Plate3_G11
GSM3443713	E6.5_Plate3_G1
GSM3443716	E6.5_Plate3_G4
GSM3443718	E6.5_Plate3_G6
GSM3443719	E6.5_Plate3_G7
GSM3443720	E6.5_Plate3_G8
GSM3443722	E6.5_Plate3_H10
GSM3443724	E6.5_Plate3_H12
GSM3443725	E6.5_Plate3_H1
GSM3443727	E6.5_Plate3_H3
GSM3443728	E6.5_Plate3_H4
GSM3443729	E6.5_Plate3_H5
GSM3443730	E6.5_Plate3_H6
GSM3443732	E6.5_Plate3_H8
GSM3443733	E6.5_Plate3_H9
GSM3443735	E6.75_Plate2_A10
GSM3443736	E6.75_Plate2_A11
GSM3443737	E6.75_Plate2_A12
GSM3443738	E6.75_Plate2_A1
GSM3443743	E6.75_Plate2_A6
GSM3443744	E6.75_Plate2_A7
GSM3443746	E6.75_Plate2_A9
GSM3443747	E6.75_Plate2_B10
GSM3443749	E6.75_Plate2_B12
GSM3443751	E6.75_Plate2_B2
GSM3443752	E6.75_Plate2_B3
GSM3443753	E6.75_Plate2_B4
GSM3443757	E6.75_Plate2_B8
GSM3443758	E6.75_Plate2_B9
GSM3443761	E6.75_Plate2_C12
GSM3443763	E6.75_Plate2_C2
GSM3443765	E6.75_Plate2_C4
GSM3443767	E6.75_Plate2_C6
GSM3443768	E6.75_Plate2_C7
GSM3443769	E6.75_Plate2_C8
GSM3443770	E6.75_Plate2_C9
GSM3443771	E6.75_Plate2_D10
GSM3443773	E6.75_Plate2_D12
GSM3443774	E6.75_Plate2_D1
GSM3443775	E6.75_Plate2_D2
GSM3443777	E6.75_Plate2_D4
GSM3443778	E6.75_Plate2_D5
GSM3443781	E6.75_Plate2_D8
GSM3443784	E6.75_Plate2_E11
GSM3443785	E6.75_Plate2_E12
GSM3443786	E6.75_Plate2_E1
GSM3443787	E6.75_Plate2_E2
GSM3443789	E6.75_Plate2_E4
GSM3443790	E6.75_Plate2_E5
GSM3443792	E6.75_Plate2_E7
GSM3443793	E6.75_Plate2_E8
GSM3443794	E6.75_Plate2_E9
GSM3443796	E6.75_Plate2_F11
GSM3443800	E6.75_Plate2_F3
GSM3443801	E6.75_Plate2_F4
GSM3443803	E6.75_Plate2_F6
GSM3443804	E6.75_Plate2_F7
GSM3443805	E6.75_Plate2_F8
GSM3443807	E6.75_Plate2_G10
GSM3443808	E6.75_Plate2_G11
GSM3443809	E6.75_Plate2_G12
GSM3443810	E6.75_Plate2_G1
GSM3443815	E6.75_Plate2_G6
GSM3443816	E6.75_Plate2_G7
GSM3443817	E6.75_Plate2_G8
GSM3443818	E6.75_Plate2_G9
GSM3443823	E6.75_Plate2_H2
GSM3443824	E6.75_Plate2_H3
GSM3443826	E6.75_Plate2_H5
GSM3443841	E7.5_Plate2_A12
GSM3443851	E7.5_Plate2_B10
GSM3443852	E7.5_Plate2_B11
GSM3443869	E7.5_Plate2_C4
GSM3443872	E7.5_Plate2_C7
GSM3443875	E7.5_Plate2_D10
GSM3443890	E7.5_Plate2_E1
GSM3443895	E7.5_Plate2_E6
GSM3443900	E7.5_Plate2_F11
GSM3443905	E7.5_Plate2_F4
GSM3443908	E7.5_Plate2_F7
GSM3443911	E7.5_Plate2_G10
